13.8249|3.2464|-418.42
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|-26907|-77426|-5928|0|0|0|
|1|-26886.2|-77387.7|-5922.39|6222.7|11483.2|1681.7|
|2|-26741.3|-77120.3|-5883.21|24811.8|45780.2|6709.58|
|3|-26349.6|-76397.6|-5777.19|55523.5|102404|15039.6|
|4|-25591.8|-75000.6|-5571.6|97938.5|180487|26613.9|
|5|-24353.8|-72720.6|-5234.3|151456|278748|41372.4|
|6|-22528.3|-69364|-4733.72|215294|395480|59261.7|
|7|-20016.7|-64756.5|-4038.77|288493|528550|80240.6|
|8|-16730.9|-58746.9|-3118.7|369932|675441|104281|
|9|-12594.8|-51211.1|-1943.01|458350|833307|131365|
|10|-7545.22|-42054.5|-481.32|552373|999058|161475|
|11|-1533.46|-31214.4|1296.5|650548|1.16946e+006|194586|
|12|5474.6|-18660.7|3420.24|751382|1.34125e+006|230646|
|13|13498.1|-4395.38|5918.95|853383|1.51125e+006|269564|
|14|22541.3|11548.4|8820.55|955094|1.67648e+006|311191|
|15|32594.3|29109.2|12151.1|1.05513e+006|1.83422e+006|355312|
|16|43633.9|48200.1|15934.1|1.15219e+006|1.98213e+006|401628|
|17|55624.4|68712.4|20189.7|1.24512e+006|2.11823e+006|449758|
|18|68519.1|90520.1|24933.8|1.33288e+006|2.24097e+006|499232|
|19|82261.7|113484|30177|1.41455e+006|2.34921e+006|549500|
|20|96787.2|137453|35924.3|1.48936e+006|2.44218e+006|599942|
|21|112024|162275|42174.2|1.55668e+006|2.51944e+006|649879|
|22|127894|187789|48917.8|1.61598e+006|2.58088e+006|698590|
|23|144315|213840|56139.4|1.66684e+006|2.62659e+006|745336|
|24|161202|240270|63815.5|1.70892e+006|2.65689e+006|789369|
|25|178464|266928|71915.3|1.742e+006|2.67223e+006|829963|
|26|196011|293666|80401|1.76588e+006|2.67315e+006|866422|
|27|213750|320345|89227.8|1.78045e+006|2.66027e+006|898100|
|28|231589|346828|98345.1|1.78566e+006|2.63425e+006|924414|
|29|249432|372988|107697|1.7815e+006|2.59576e+006|944860|
|30|267187|398704|117221|1.76802e+006|2.54549e+006|959015|
|31|284762|423861|126855|1.74532e+006|2.48412e+006|966553|
|32|302064|448352|136530|1.71356e+006|2.41234e+006|967245|
|33|319004|472075|146176|1.67298e+006|2.33082e+006|960972|
|34|335495|494938|155726|1.62387e+006|2.24029e+006|947719|
|35|351454|516853|165108|1.5666e+006|2.14146e+006|927586|
|36|366801|537742|174255|1.50164e+006|2.0351e+006|900784|
|37|381463|557533|183102|1.42956e+006|1.92202e+006|867639|
|38|395371|576163|191588|1.351e+006|1.80311e+006|828585|
|39|408464|593579|199656|1.26672e+006|1.6793e+006|784163|
|40|420689|609736|207256|1.17759e+006|1.55164e+006|735013|
|41|432003|624602|214343|1.08457e+006|1.42121e+006|681868|
|42|442371|638155|220882|988700|1.28922e+006|625538|
|43|451771|650386|226846|891126|1.15693e+006|566902|
|44|460192|661297|232216|793041|1.02565e+006|506886|
|45|467634|670906|236983|695691|896756|446450|
|46|474112|679245|241147|600342|771652|386564|
|47|479652|686357|244719|508264|651734|328193|
|48|484292|692301|247719|420698|538382|272273|
|49|488085|697151|250175|338837|432927|219696|
|50|491092|700990|252127|263800|336628|171288|
|51|493387|703918|253618|196611|250651|127799|
|52|495053|706041|254701|138182|176040|89888.5|
|53|496182|707479|255436|89296.7|113709|58118.5|
|54|496873|708359|255886|50604.1|64419.8|32945.9|
|55|497230|708813|256118|22608.8|28777.2|14721.9|
|56|497362|708981|256204|5669.76|7216.25|3692.14|
|57|497381|709006|256216|0|0|0|
