|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|:-:|:-:|:-:
|0|-152.5|-0.000141332
|1|-633|0
|2|0|0
|3|1037|512
|4|-152.5|-650
|5|-152.5|-633
|6|0.939059|0.018793
|7|1.9345e-007|4.83626e-011
|8|1.54759e-006|7.73799e-010
|9|5.22308e-006|3.91733e-009
|10|1.23805e-005|1.23806e-008
|11|2.41802e-005|3.02258e-008
|12|4.17826e-005|6.26753e-008
|13|6.63476e-005|1.16112e-007
|14|9.90351e-005|1.98078e-007
|15|0.000141005|3.17276e-007
|16|0.000193415|4.83568e-007
|17|0.000257426|7.07973e-007
|18|0.000334195|1.00267e-006
|19|0.000424879|1.381e-006
|20|0.000530638|1.85746e-006
|21|0.000652627|2.44769e-006
|22|0.000792002|3.1685e-006
|23|0.000949919|4.03787e-006
|24|0.00112753|5.07491e-006
|25|0.001326|6.29989e-006
|26|0.00154647|7.73424e-006
|27|0.0017901|9.40055e-006
|28|0.00205803|1.13225e-005
|29|0.00235143|1.35251e-005
|30|0.00267144|1.60343e-005
|31|0.0030192|1.88772e-005
|32|0.00339587|2.20823e-005
|33|0.0038026|2.5679e-005
|34|0.00424052|2.96979e-005
|35|0.00471079|3.41708e-005
|36|0.00521455|3.91307e-005
|37|0.00575293|4.46115e-005
|38|0.00632709|5.06484e-005
|39|0.00693816|5.72779e-005
|40|0.00758727|6.45374e-005
|41|0.00827557|7.24655e-005
|42|0.00900419|8.1102e-005
|43|0.00977427|9.04877e-005
|44|0.0105869|0.000100665
|45|0.0114433|0.000111676
|46|0.0123445|0.000123566
|47|0.0132917|0.000136381
|48|0.014286|0.000150165
|49|0.0153286|0.000164969
|50|0.0164204|0.000180839
|51|0.0175628|0.000197826
|52|0.0187567|0.000215982
|53|0.0200034|0.000235357
|54|0.0213038|0.000256007
|55|0.0226592|0.000277983
|56|0.0240706|0.000301344
|57|0.0255392|0.000326144
|58|0.027066|0.000352441
|59|0.0286522|0.000380296
|60|0.0302989|0.000409766
|61|0.0320071|0.000440914
|62|0.033778|0.000473801
|63|0.0356127|0.000508491
|64|0.0375122|0.000545048
|65|0.0394776|0.000583537
|66|0.0415101|0.000624026
|67|0.0436107|0.00066658
|68|0.0457805|0.00071127
|69|0.0480206|0.000758165
|70|0.050332|0.000807335
|71|0.0527159|0.000858853
|72|0.0551733|0.000912791
|73|0.0577053|0.000969224
|74|0.0603129|0.00102823
|75|0.0629972|0.00108988
|76|0.0657593|0.00115425
|77|0.0686003|0.00122142
|78|0.0715211|0.00129147
|79|0.0745229|0.00136449
|80|0.0776067|0.00144055
|81|0.0807735|0.00151973
|82|0.0840244|0.00160212
|83|0.0873604|0.00168781
|84|0.0907827|0.00177687
|85|0.0942921|0.0018694
|86|0.0978897|0.00196549
|87|0.101577|0.00206521
|88|0.105354|0.00216867
|89|0.109222|0.00227595
|90|0.113183|0.00238714
|91|0.117237|0.00250235
|92|0.121386|0.00262165
|93|0.12563|0.00274515
|94|0.12997|0.00287294
|95|0.134408|0.00300512
|96|0.138944|0.00314179
|97|0.143579|0.00328304
|98|0.148315|0.00342898
|99|0.153152|0.00357971
|100|0.158091|0.00373532
|101|0.163134|0.00389592
|102|0.168281|0.00406162
|103|0.173533|0.00423252
|104|0.178891|0.00440872
|105|0.184357|0.00459034
|106|0.189931|0.00477747
|107|0.195614|0.00497024
|108|0.201406|0.00516874
|109|0.20731|0.00537309
|110|0.213326|0.00558339
|111|0.219455|0.00579978
|112|0.225697|0.00602234
|113|0.232055|0.00625121
|114|0.238528|0.00648649
|115|0.245117|0.0067283
|116|0.251824|0.00697676
|117|0.25865|0.00723199
|118|0.265595|0.0074941
|119|0.27266|0.00776322
|120|0.279846|0.00803946
|121|0.287154|0.00832295
|122|0.294585|0.00861381
|123|0.30214|0.00891216
|124|0.30982|0.00921813
|125|0.317626|0.00953185
|126|0.325557|0.00985343
|127|0.333617|0.010183
|128|0.341804|0.0105207
|129|0.35012|0.0108667
|130|0.358567|0.011221
|131|0.367144|0.0115838
|132|0.375852|0.0119553
|133|0.384694|0.0123356
|134|0.393668|0.0127247
|135|0.402776|0.013123
|136|0.41202|0.0135303
|137|0.421399|0.013947
|138|0.430915|0.0143732
|139|0.440568|0.0148089
|140|0.45036|0.0152544
|141|0.46029|0.0157097
|142|0.47036|0.016175
|143|0.480571|0.0166505
|144|0.490923|0.0171362
|145|0.501418|0.0176323
|146|0.512055|0.0181391
|147|0.522836|0.0186565
|148|0.533761|0.0191848
|149|0.544832|0.0197241
|150|0.556049|0.0202745
|151|0.567412|0.0208362
|152|0.578923|0.0214094
|153|0.590582|0.0219941
|154|0.60239|0.0225906
|155|0.614348|0.0231989
|156|0.626456|0.0238193
|157|0.638715|0.0244519
|158|0.651126|0.0250968
|159|0.663689|0.0257542
|160|0.676406|0.0264242
|161|0.689277|0.0271071
|162|0.702302|0.0278029
|163|0.715482|0.0285117
|164|0.728819|0.0292339
|165|0.742312|0.0299694
|166|0.755962|0.0307185
|167|0.769771|0.0314814
|168|0.783738|0.0322581
|169|0.797864|0.0330489
|170|0.81215|0.0338539
|171|0.826597|0.0346733
|172|0.841205|0.0355072
|173|0.855974|0.0363557
|174|0.870906|0.0372192
|175|0.886002|0.0380976
|176|0.90126|0.0389912
|177|0.916683|0.0399002
|178|0.932271|0.0408247
|179|0.948024|0.0417648
|180|0.963943|0.0427208
|181|0.980029|0.0436927
|182|0.996282|0.0446809
|183|1.0127|0.0456853
|184|1.02929|0.0467063
|185|1.04605|0.047744
|186|1.06298|0.0487985
|187|1.08007|0.04987
|188|1.09734|0.0509587
|189|1.11478|0.0520647
|190|1.13239|0.0531883
|191|1.15017|0.0543296
|192|1.16813|0.0554887
|193|1.18625|0.0566659
|194|1.20455|0.0578613
|195|1.22303|0.059075
|196|1.24168|0.0603074
|197|1.2605|0.0615585
|198|1.2795|0.0628284
|199|1.29868|0.0641175
|200|1.31803|0.0654259
|201|1.33756|0.0667536
|202|1.35726|0.068101
|203|1.37715|0.0694682
|204|1.39721|0.0708554
|205|1.41745|0.0722627
|206|1.43787|0.0736903
|207|1.45847|0.0751385
|208|1.47925|0.0766073
|209|1.5002|0.0780971
|210|1.52134|0.0796078
|211|1.54266|0.0811398
|212|1.56416|0.0826932
|213|1.58585|0.0842682
|214|1.60771|0.085865
|215|1.62976|0.0874837
|216|1.65199|0.0891245
|217|1.6744|0.0907877
|218|1.697|0.0924734
|219|1.71978|0.0941818
|220|1.74274|0.095913
|221|1.76589|0.0976673
|222|1.78923|0.0994449
|223|1.81275|0.101246
|224|1.83645|0.10307
|225|1.86034|0.104919
|226|1.88442|0.106791
|227|1.90868|0.108688
|228|1.93313|0.110609
|229|1.95776|0.112554
|230|1.98258|0.114524
|231|2.00759|0.116519
|232|2.03279|0.118539
|233|2.05817|0.120585
|234|2.08374|0.122656
|235|2.1095|0.124752
|236|2.13545|0.126875
|237|2.16159|0.129023
|238|2.18792|0.131198
|239|2.21443|0.133399
|240|2.24113|0.135627
|241|2.26803|0.137882
|242|2.29511|0.140163
|243|2.32238|0.142472
|244|2.34985|0.144808
|245|2.3775|0.147172
|246|2.40534|0.149563
|247|2.43337|0.151982
|248|2.4616|0.15443
|249|2.49001|0.156906
|250|2.51861|0.15941
|251|2.54741|0.161943
|252|2.5764|0.164505
|253|2.60557|0.167096
|254|2.63494|0.169716
|255|2.6645|0.172366
|256|2.69425|0.175045
|257|2.72419|0.177754
|258|2.75432|0.180494
|259|2.78465|0.183263
|260|2.81516|0.186063
|261|2.84587|0.188893
|262|2.87677|0.191755
|263|2.90786|0.194647
|264|2.93914|0.197571
|265|2.97061|0.200525
|266|3.00228|0.203512
|267|3.03414|0.20653
|268|3.06618|0.20958
|269|3.09842|0.212662
|270|3.13085|0.215777
|271|3.16348|0.218924
|272|3.19629|0.222104
|273|3.2293|0.225317
|274|3.26249|0.228563
|275|3.29588|0.231842
|276|3.32946|0.235155
|277|3.36323|0.238501
|278|3.39719|0.241881
|279|3.43134|0.245295
|280|3.46569|0.248744
|281|3.50022|0.252227
|282|3.53495|0.255744
|283|3.56986|0.259297
|284|3.60497|0.262884
|285|3.64026|0.266507
|286|3.67575|0.270165
|287|3.71143|0.273858
|288|3.74729|0.277588
|289|3.78335|0.281353
|290|3.81959|0.285154
|291|3.85603|0.288992
|292|3.89265|0.292867
|293|3.92947|0.296778
|294|3.96647|0.300726
|295|4.00366|0.304711
|296|4.04104|0.308733
|297|4.07861|0.312793
|298|4.11636|0.31689
|299|4.15431|0.321025
|300|4.19244|0.325199
|301|4.23076|0.32941
|302|4.26926|0.33366
|303|4.30795|0.337949
|304|4.34683|0.342276
|305|4.3859|0.346643
|306|4.42515|0.351048
|307|4.46459|0.355493
|308|4.50421|0.359977
|309|4.54402|0.364502
|310|4.58401|0.369066
|311|4.62419|0.37367
|312|4.66455|0.378314
|313|4.70509|0.382999
|314|4.74582|0.387724
|315|4.78673|0.392491
|316|4.82783|0.397298
|317|4.86911|0.402146
|318|4.91057|0.407036
|319|4.95221|0.411967
|320|4.99403|0.416941
|321|5.03604|0.421956
|322|5.07822|0.427013
|323|5.12059|0.432112
|324|5.16313|0.437254
|325|5.20586|0.442438
|326|5.24876|0.447666
|327|5.29184|0.452936
|328|5.33511|0.458249
|329|5.37854|0.463606
|330|5.42216|0.469007
|331|5.46595|0.474451
|332|5.50993|0.479939
|333|5.55407|0.485471
|334|5.59839|0.491047
|335|5.64289|0.496667
|336|5.68756|0.502333
|337|5.73241|0.508043
|338|5.77743|0.513797
|339|5.82262|0.519597
|340|5.86799|0.525443
|341|5.91352|0.531334
|342|5.95923|0.53727
|343|6.00512|0.543252
|344|6.05117|0.54928
|345|6.09739|0.555354
|346|6.14378|0.561475
|347|6.19034|0.567642
|348|6.23707|0.573856
|349|6.28397|0.580116
|350|6.33103|0.586424
|351|6.37826|0.592778
|352|6.42566|0.59918
|353|6.47322|0.60563
|354|6.52095|0.612127
|355|6.56885|0.618672
|356|6.6169|0.625265
|357|6.66512|0.631906
|358|6.71351|0.638595
|359|6.76205|0.645333
|360|6.81076|0.652119
|361|6.85963|0.658954
|362|6.90865|0.665838
|363|6.95784|0.672772
|364|7.00719|0.679754
|365|7.05669|0.686786
|366|7.10635|0.693867
|367|7.15617|0.700999
|368|7.20615|0.70818
|369|7.25628|0.715411
|370|7.30656|0.722692
|371|7.357|0.730024
|372|7.4076|0.737407
|373|7.45835|0.74484
|374|7.50924|0.752323
|375|7.56029|0.759858
|376|7.6115|0.767444
|377|7.66285|0.775081
|378|7.71435|0.78277
|379|7.766|0.79051
|380|7.81779|0.798302
|381|7.86974|0.806145
|382|7.92183|0.814041
|383|7.97406|0.821989
|384|8.02644|0.829989
|385|8.07897|0.838042
|386|8.13164|0.846147
|387|8.18445|0.854305
|388|8.2374|0.862516
|389|8.29049|0.87078
|390|8.34373|0.879097
|391|8.3971|0.887468
|392|8.45061|0.895892
|393|8.50426|0.904369
|394|8.55805|0.9129
|395|8.61197|0.921485
|396|8.66603|0.930124
|397|8.72022|0.938817
|398|8.77455|0.947565
|399|8.829|0.956366
|400|8.8836|0.965223
|401|8.93832|0.974134
|402|8.99317|0.983099
|403|9.04815|0.99212
|404|9.10326|1.0012
|405|9.1585|1.01033
|406|9.21387|1.01951
|407|9.26936|1.02875
|408|9.32497|1.03805
|409|9.38072|1.0474
|410|9.43658|1.05681
|411|9.49257|1.06628
|412|9.54867|1.0758
|413|9.6049|1.08537
|414|9.66125|1.09501
|415|9.71772|1.1047
|416|9.77431|1.11444
|417|9.83101|1.12425
|418|9.88783|1.13411
|419|9.94476|1.14402
|420|10.0018|1.154
|421|10.059|1.16403
|422|10.1162|1.17411
|423|10.1736|1.18426
|424|10.2311|1.19446
|425|10.2887|1.20472
|426|10.3464|1.21504
|427|10.4043|1.22541
|428|10.4622|1.23585
|429|10.5202|1.24634
|430|10.5784|1.25689
|431|10.6366|1.26749
|432|10.695|1.27816
|433|10.7534|1.28888
|434|10.812|1.29967
|435|10.8706|1.31051
|436|10.9294|1.32141
|437|10.9882|1.33237
|438|11.0471|1.34338
|439|11.1062|1.35446
|440|11.1653|1.3656
|441|11.2245|1.37679
|442|11.2839|1.38805
|443|11.3433|1.39936
|444|11.4028|1.41073
|445|11.4624|1.42217
|446|11.522|1.43366
|447|11.5818|1.44521
|448|11.6417|1.45682
|449|11.7016|1.46849
|450|11.7616|1.48022
|451|11.8217|1.49202
|452|11.8819|1.50387
|453|11.9422|1.51578
|454|12.0026|1.52775
|455|12.063|1.53979
|456|12.1235|1.55188
|457|12.1841|1.56403
|458|12.2447|1.57625
|459|12.3055|1.58852
|460|12.3663|1.60086
|461|12.4272|1.61325
|462|12.4881|1.62571
|463|12.5492|1.63823
|464|12.6103|1.65081
|465|12.6714|1.66345
|466|12.7327|1.67615
|467|12.794|1.68892
|468|12.8553|1.70174
|469|12.9168|1.71463
|470|12.9783|1.72757
|471|13.0398|1.74058
|472|13.1014|1.75365
|473|13.1631|1.76679
|474|13.2249|1.77998
|475|13.2867|1.79324
|476|13.3485|1.80655
|477|13.4104|1.81993
|478|13.4724|1.83337
|479|13.5344|1.84688
|480|13.5964|1.86044
|481|13.6586|1.87407
|482|13.7207|1.88776
|483|13.7829|1.90151
|484|13.8452|1.91533
|485|13.9075|1.9292
|486|13.9699|1.94314
|487|14.0323|1.95714
|488|14.0947|1.97121
|489|14.1572|1.98533
|490|14.2197|1.99952
|491|14.2823|2.01377
|492|14.3449|2.02809
|493|14.4075|2.04246
|494|14.4702|2.0569
|495|14.5329|2.0714
|496|14.5957|2.08597
|497|14.6585|2.10059
|498|14.7213|2.11528
|499|14.7841|2.13004
|500|14.847|2.14485
|501|14.9099|2.15973
|502|14.9728|2.17467
|503|15.0358|2.18968
|504|15.0987|2.20474
|505|15.1617|2.21987
|506|15.2248|2.23507
|507|15.2878|2.25032
|508|15.3509|2.26564
|509|15.414|2.28102
|510|15.4771|2.29647
|511|15.5402|2.31198
|512|15.6033|2.32755
|513|15.6665|2.34319
|514|15.7296|2.35888
|515|15.7928|2.37464
|516|15.856|2.39047
|517|15.9192|2.40636
|518|15.9824|2.42231
|519|16.0456|2.43832
|520|16.1088|2.4544
|521|16.1721|2.47054
|522|16.2353|2.48674
|523|16.2985|2.50301
|524|16.3618|2.51934
|525|16.425|2.53573
|526|16.4882|2.55219
|527|16.5514|2.56871
|528|16.6147|2.58529
|529|16.6779|2.60194
|530|16.7411|2.61865
|531|16.8043|2.63542
|532|16.8675|2.65226
|533|16.9307|2.66916
|534|16.9939|2.68612
|535|17.0571|2.70314
|536|17.1203|2.72023
|537|17.1834|2.73738
|538|17.2465|2.7546
|539|17.3097|2.77188
|540|17.3728|2.78922
|541|17.4359|2.80662
|542|17.4989|2.82409
|543|17.562|2.84162
|544|17.625|2.85921
|545|17.688|2.87687
|546|17.751|2.89459
|547|17.8139|2.91237
|548|17.8769|2.93022
|549|17.9398|2.94813
|550|18.0026|2.9661
|551|18.0655|2.98413
|552|18.1283|3.00223
|553|18.1911|3.02039
|554|18.2538|3.03861
|555|18.3165|3.0569
|556|18.3792|3.07524
|557|18.4418|3.09365
|558|18.5044|3.11213
|559|18.567|3.13066
|560|18.6295|3.14926
|561|18.692|3.16792
|562|18.7545|3.18665
|563|18.8169|3.20543
|564|18.8792|3.22428
|565|18.9415|3.24319
|566|19.0038|3.26216
|567|19.066|3.2812
|568|19.1282|3.30029
|569|19.1903|3.31945
|570|19.2524|3.33867
|571|19.3144|3.35796
|572|19.3763|3.3773
|573|19.4382|3.39671
|574|19.5001|3.41618
|575|19.5619|3.43571
|576|19.6236|3.4553
|577|19.6853|3.47496
|578|19.7469|3.49467
|579|19.8085|3.51445
|580|19.87|3.53429
|581|19.9314|3.55419
|582|19.9928|3.57415
|583|20.0541|3.59418
|584|20.1153|3.61426
|585|20.1765|3.63441
|586|20.2376|3.65461
|587|20.2986|3.67488
|588|20.3595|3.69521
|589|20.4204|3.7156
|590|20.4812|3.73605
|591|20.542|3.75656
|592|20.6027|3.77714
|593|20.6632|3.79777
|594|20.7237|3.81846
|595|20.7842|3.83922
|596|20.8445|3.86003
|597|20.9048|3.88091
|598|20.965|3.90184
|599|21.0251|3.92284
|600|21.0851|3.94389
|601|21.1451|3.96501
|602|21.2049|3.98618
|603|21.2647|4.00742
|604|21.3244|4.02871
|605|21.384|4.05006
|606|21.4435|4.07148
|607|21.5029|4.09295
|608|21.5622|4.11448
|609|21.6214|4.13608
|610|21.6806|4.15773
|611|21.7396|4.17944
|612|21.7985|4.20121
|613|21.8574|4.22303
|614|21.9161|4.24492
|615|21.9748|4.26687
|616|22.0333|4.28887
|617|22.0918|4.31093
|618|22.1501|4.33305
|619|22.2084|4.35523
|620|22.2665|4.37747
|621|22.3245|4.39977
|622|22.3825|4.42212
|623|22.4403|4.44453
|624|22.498|4.467
|625|22.5556|4.48953
|626|22.6131|4.51211
|627|22.6705|4.53475
|628|22.7278|4.55745
|629|22.7849|4.58021
|630|22.842|4.60302
|631|22.8989|4.62589
|632|22.9557|4.64882
|633|23.0124|4.6718
|634|23.069|4.69484
|635|23.1255|4.71794
|636|23.1818|4.7411
|637|23.2381|4.76431
|638|23.2942|4.78757
|639|23.3502|4.81089
|640|23.406|4.83427
|641|23.4618|4.85771
|642|23.5174|4.8812
|643|23.5729|4.90474
|644|23.6282|4.92834
|645|23.6835|4.952
|646|23.7386|4.97571
|647|23.7936|4.99947
|648|23.8484|5.0233
|649|23.9031|5.04717
|650|23.9577|5.0711
|651|24.0122|5.09509
|652|24.0665|5.11913
|653|24.1207|5.14322
|654|24.1748|5.16737
|655|24.2287|5.19157
|656|24.2825|5.21582
|657|24.3361|5.24013
|658|24.3896|5.2645
|659|24.443|5.28891
|660|24.4962|5.31338
|661|24.5493|5.33791
|662|24.6023|5.36248
|663|24.6551|5.38711
|664|24.7078|5.41179
|665|24.7603|5.43653
|666|24.8127|5.46131
|667|24.8649|5.48615
|668|24.917|5.51104
|669|24.9689|5.53598
|670|25.0207|5.56098
|671|25.0724|5.58603
|672|25.1239|5.61112
|673|25.1752|5.63627
|674|25.2264|5.66147
|675|25.2775|5.68673
|676|25.3284|5.71203
|677|25.3791|5.73738
|678|25.4297|5.76279
|679|25.4802|5.78824
|680|25.5305|5.81375
|681|25.5806|5.8393
|682|25.6306|5.86491
|683|25.6804|5.89056
|684|25.73|5.91627
|685|25.7795|5.94202
|686|25.8289|5.96783
|687|25.8781|5.99368
|688|25.9271|6.01959
|689|25.976|6.04554
|690|26.0247|6.07154
|691|26.0732|6.09759
|692|26.1216|6.12368
|693|26.1698|6.14983
|694|26.2179|6.17602
|695|26.2658|6.20227
|696|26.3135|6.22855
|697|26.3611|6.25489
|698|26.4085|6.28128
|699|26.4557|6.30771
|700|26.5028|6.33419
|701|26.5497|6.36071
|702|26.5964|6.38729
|703|26.643|6.41391
|704|26.6893|6.44057
|705|26.7356|6.46729
|706|26.7816|6.49404
|707|26.8275|6.52085
|708|26.8732|6.5477
|709|26.9187|6.5746
|710|26.9641|6.60154
|711|27.0093|6.62852
|712|27.0543|6.65556
|713|27.0992|6.68263
|714|27.1438|6.70975
|715|27.1883|6.73692
|716|27.2327|6.76413
|717|27.2768|6.79138
|718|27.3208|6.81868
|719|27.3646|6.84603
|720|27.4082|6.87341
|721|27.4516|6.90084
|722|27.4949|6.92832
|723|27.538|6.95583
|724|27.5809|6.98339
|725|27.6236|7.01099
|726|27.6661|7.03864
|727|27.7085|7.06633
|728|27.7507|7.09406
|729|27.7927|7.12183
|730|27.8345|7.14964
|731|27.8762|7.1775
|732|27.9176|7.20539
|733|27.9589|7.23333
|734|28|7.26131
|735|28.0409|7.28933
|736|28.0816|7.31739
|737|28.1222|7.3455
|738|28.1625|7.37364
|739|28.2027|7.40182
|740|28.2427|7.43004
|741|28.2825|7.45831
|742|28.3221|7.48661
|743|28.3616|7.51495
|744|28.4008|7.54333
|745|28.4399|7.57175
|746|28.4788|7.60021
|747|28.5175|7.62871
|748|28.556|7.65725
|749|28.5943|7.68582
|750|28.6324|7.71443
|751|28.6704|7.74309
|752|28.7081|7.77177
|753|28.7457|7.8005
|754|28.7831|7.82927
|755|28.8203|7.85807
|756|28.8573|7.88691
|757|28.8941|7.91578
|758|28.9307|7.94469
|759|28.9671|7.97364
|760|29.0034|8.00263
|761|29.0394|8.03165
|762|29.0753|8.06071
|763|29.111|8.0898
|764|29.1465|8.11893
|765|29.1818|8.14809
|766|29.2169|8.17729
|767|29.2518|8.20653
|768|29.2865|8.2358
|769|29.321|8.2651
|770|29.3554|8.29444
|771|29.3895|8.32381
|772|29.4235|8.35322
|773|29.4573|8.38266
|774|29.4909|8.41213
|775|29.5242|8.44164
|776|29.5574|8.47118
|777|29.5904|8.50075
|778|29.6233|8.53036
|779|29.6559|8.56
|780|29.6883|8.58967
|781|29.7206|8.61938
|782|29.7526|8.64911
|783|29.7845|8.67888
|784|29.8161|8.70868
|785|29.8476|8.73851
|786|29.8789|8.76838
|787|29.91|8.79827
|788|29.9409|8.8282
|789|29.9716|8.85815
|790|30.0021|8.88814
|791|30.0324|8.91816
|792|30.0625|8.94821
|793|30.0925|8.97828
