13.8249|3.2464|-418.42
|Index|x_pos|y_pos|z_pos|x_vel|y_vel|z_vel|
|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|
|0|13.8249|3.2464|-418.42|-0|-0|-0|
|1|13.819|3.24629|-418.428|-1.77102|-0.0345675|-2.46585|
|2|13.7777|3.24548|-418.486|-7.06257|-0.13785|-9.83347|
|3|13.6662|3.2433|-418.641|-15.8104|-0.308595|-22.0134|
|4|13.4503|3.23909|-418.941|-27.9084|-0.544728|-38.8579|
|5|13.0973|3.2322|-419.433|-43.2096|-0.843384|-60.1623|
|6|12.5761|3.22203|-420.159|-61.5284|-1.20094|-85.6682|
|7|11.8574|3.208|-421.159|-82.6423|-1.61305|-115.066|
|8|10.9148|3.1896|-422.472|-106.295|-2.07471|-147.998|
|9|9.72404|3.16636|-424.13|-132.2|-2.58033|-184.066|
|10|8.26431|3.13787|-426.162|-160.041|-3.12376|-222.832|
|11|6.51787|3.10378|-428.594|-189.483|-3.6984|-263.824|
|12|4.47051|3.06382|-431.444|-220.166|-4.29729|-306.545|
|13|2.11166|3.01778|-434.729|-251.719|-4.91315|-350.477|
|14|-0.56548|2.96552|-438.456|-283.758|-5.53851|-395.086|
|15|-3.56382|2.907|-442.631|-315.895|-6.16577|-439.831|
|16|-6.88239|2.84223|-447.251|-347.739|-6.78732|-484.169|
|17|-10.5163|2.7713|-452.311|-378.904|-7.39561|-527.562|
|18|-14.4569|2.69438|-457.798|-409.012|-7.98327|-569.482|
|19|-18.6918|2.61173|-463.694|-437.697|-8.54316|-609.421|
|20|-23.205|2.52364|-469.978|-464.611|-9.06848|-646.895|
|21|-27.9771|2.43049|-476.622|-489.427|-9.55286|-681.447|
|22|-32.9855|2.33274|-483.596|-511.845|-9.99041|-712.66|
|23|-38.205|2.23086|-490.863|-531.591|-10.3758|-740.153|
|24|-43.6076|2.12541|-498.385|-548.427|-10.7044|-763.594|
|25|-49.1632|2.01697|-506.12|-562.147|-10.9722|-782.698|
|26|-54.8396|1.90618|-514.024|-572.586|-11.176|-797.232|
|27|-60.6035|1.79367|-522.049|-579.616|-11.3132|-807.021|
|28|-66.4203|1.68014|-530.148|-583.153|-11.3822|-811.945|
|29|-72.2548|1.56626|-538.272|-583.153|-11.3822|-811.945|
|30|-78.0716|1.45273|-546.371|-579.616|-11.3132|-807.021|
|31|-83.8355|1.34022|-554.396|-572.586|-11.176|-797.232|
|32|-89.5119|1.22943|-562.299|-562.147|-10.9722|-782.698|
|33|-95.0675|1.12099|-570.035|-548.427|-10.7044|-763.594|
|34|-100.47|1.01554|-577.557|-531.591|-10.3758|-740.153|
|35|-105.69|0.913666|-584.824|-511.845|-9.99041|-712.66|
|36|-110.698|0.815908|-591.798|-489.427|-9.55286|-681.447|
|37|-115.47|0.722765|-598.442|-464.611|-9.06848|-646.895|
|38|-119.983|0.634675|-604.726|-437.697|-8.54316|-609.421|
|39|-124.218|0.552017|-610.622|-409.012|-7.98327|-569.482|
|40|-128.159|0.475102|-616.109|-378.904|-7.39561|-527.562|
|41|-131.793|0.404173|-621.169|-347.739|-6.78732|-484.169|
|42|-135.111|0.3394|-625.789|-315.895|-6.16577|-439.831|
|43|-138.11|0.280877|-629.964|-283.758|-5.53851|-395.086|
|44|-140.787|0.228624|-633.691|-251.719|-4.91315|-350.477|
|45|-143.146|0.182582|-636.976|-220.166|-4.29729|-306.545|
|46|-145.193|0.142621|-639.826|-189.483|-3.6984|-263.824|
|47|-146.939|0.108533|-642.258|-160.041|-3.12376|-222.832|
|48|-148.399|0.0800418|-644.29|-132.2|-2.58033|-184.066|
|49|-149.59|0.0568007|-645.948|-106.295|-2.07471|-147.998|
|50|-150.533|0.038401|-647.261|-82.6423|-1.61305|-115.066|
|51|-151.251|0.0243745|-648.261|-61.5284|-1.20094|-85.6682|
|52|-151.772|0.0142003|-648.987|-43.2096|-0.843384|-60.1623|
|53|-152.125|0.00731044|-649.479|-27.9084|-0.544728|-38.8579|
|54|-152.341|0.00309724|-649.779|-15.8104|-0.308595|-22.0134|
|55|-152.453|0.000920493|-649.934|-7.06257|-0.13785|-9.83347|
|56|-152.494|0.000115272|-649.992|-1.77102|-0.0345675|-2.46585|
|57|-152.5|0|-650|-0|-0|-0|
